 ,Area,Mean,Min,Max,Angle,Length,,
1,34,95.696,1,214,0,33,0.44717757,0.44
2,36,101.488,58.333,175.41,1.637,35.014,0.578575908,0.57
3,21,112.987,90.1,161.483,-92.862,20.025,0.699683558,0.69
4,36,103.281,77.238,168.638,-4.899,35.128,0.612442036,0.61
5,44,98.547,73.008,175.209,-2.663,43.046,0.562453984,0.56
6,42,105.214,78,180.667,-90,41,0.582364239,0.58
7,40,98.333,64.333,179.667,0,39,0.547306962,0.54
8,45,100.191,75.848,169.909,2.603,44.045,0.589674473,0.58
9,31,107.42,80.133,158.6,-91.909,30.017,0.677301387,0.67
10,46,97.982,15,162.556,1.273,45.011,0.602758434,0.6
11,38,95.858,79.784,159.874,-1.548,37.014,0.599584673,0.59
12,39,105.557,72.404,172.509,-91.507,38.013,0.611892713,0.61
13,36,102.722,77.667,205.667,0,35,0.499457861,0.49
14,38,103.377,24,209,-90,37,0.494626794,0.49
15,38,96.683,3.667,202.595,-1.548,37.014,0.477223031,0.47
16,45,96.277,59.227,175.955,2.603,44.045,0.54716831,0.54
17,51,99.622,77.6,170.933,5.711,50.249,0.582813149,0.58
18,29,106.807,82.333,152.571,-96.116,28.16,0.700047847,0.7
19,35,108.146,75.333,159.539,1.685,34.015,0.6778656,0.67
20,43,98.628,42,176.333,0,42,0.559328089,0.55
21,40,104.308,84.333,178,-90,39,0.586,0.58
22,40,103.262,68.128,170.752,-2.936,39.051,0.604748407,0.6
23,50,95.857,68.497,180.095,5.826,49.254,0.532257975,0.53
24,39,112.094,85.333,180,-90,38,0.622744444,0.62
25,48,99.056,77.631,183.248,-1.219,47.011,0.540557059,0.54
26,45,100.306,73.341,173.47,1.302,44.011,0.578232547,0.57
27,45,105.604,71,173.644,-96.483,44.283,0.608163829,0.6
28,59,86.934,3.667,157.805,6.882,58.421,0.550895092,0.55
29,64,83.955,0.667,160.632,10.954,63.151,0.522654266,0.52
30,36,104.639,83.333,184,-90,35,0.568690217,0.56
31,43,100.659,48.667,187.667,0,42,0.536370273,0.53
32,45,100.622,78.667,210,0,44,0.479152381,0.47
33,34,107.333,83.333,184,-90,33,0.583331522,0.58
34,38,99.991,76.55,177.351,-3.094,37.054,0.563802854,0.56
35,49,97.242,70.667,161,3.576,48.094,0.603987578,0.6
36,45,106.6,82.667,175.667,-90,44,0.606829968,0.6
37,60,78.861,0.514,148.057,3.879,59.135,0.532639456,0.53
38,56,94.786,33.491,169.867,1.042,55.009,0.55800126,0.55
39,37,108.181,87.556,164.417,-91.591,36.014,0.657967242,0.65
40,52,96.417,62.333,170.954,-1.123,51.01,0.563993823,0.56
41,47,93.525,25,184,0,46,0.508288043,0.5
42,38,108.143,87.081,171.459,-86.906,37.054,0.630722213,0.63
43,45,95.459,64.333,179.667,0,44,0.531310703,0.53
44,43,99.468,79.262,183.968,1.364,42.012,0.540680988,0.45
45,37,109.263,82.722,179.667,-86.82,36.056,0.608141729,0.6
46,51,96.244,53,173.6,-2.291,50.04,0.554400922,0.55
47,54,88.395,1.333,169.849,4.316,53.151,0.520432855,0.53
48,43,104.537,84.401,158.179,-114.102,41.629,0.660877866,0.86
49,51,92.444,3.333,173.333,0,50,0.533331795,0.53
50,36,106.111,68.333,209,-90,35,0.507708134,0.5
51,37,100.64,69,185.333,0,36,0.543022559,0.54
52,39,105.068,78.667,209,0,38,0.502717703,0.5
53,38,106.44,77.261,172.586,-96.17,37.216,0.616736004,0.61
54,36,102.124,82.667,176.505,-88.363,35.014,0.578589842,0.57
55,43,99.762,61.19,195.619,175.914,42.107,0.509981137,0.5
56,47,96.487,74.957,166.116,173.797,46.271,0.580841099,0.58
57,47,109.026,86.652,166.449,-87.51,46.043,0.655011445,0.65
58,58,96.912,58.967,218,8.13,56.569,0.444550459,0.44
59,55,94.79,7.508,169.296,8.584,53.6,0.559906909,0.55
60,38,111.884,83.279,178.342,-80.789,37.483,0.627356428,0.63
