 ,Area,Mean,Min,Max,Angle,Length,,
1,52,186.524,126.455,222.463,-10.204,50.804,0.83844954,0.838
2,73,165.037,1,224.333,-82.776,71.568,0.735678656,0.735
3,78,157.74,98.315,215.803,-42.374,77.156,0.730944426,0.73
4,52,185.091,57.809,230.333,-24.075,51.478,0.803580034,0.8
5,83,181.89,119.755,219.425,110.638,82.28,0.828939273,0.828
6,26,124.29,1.967,206.286,14.036,24.739,0.602513016,0.6
7,77,171.142,3,221.181,-35.362,76.026,0.773764473,0.773
8,70,190.518,107.376,211.929,79.992,69.051,0.898970882,0.898
9,22,144.983,70.272,195.556,29.055,20.591,0.741388656,0.741
10,79,152.74,2.145,217.353,-34.509,77.666,0.702727821,0.702
11,72,189.765,37.667,217.911,75.379,71.309,0.870837177,0.97
12,22,159.794,0.889,221.333,16.699,20.881,0.721961931,0.721
13,63,173.608,94.667,217.846,-24.905,61.741,0.796929941,0.796
14,73,176.414,1.667,218.222,-109.44,72.111,0.808415284,0.808
15,22,145.288,115.36,174.153,22.834,20.616,0.834254937,0.843
16,63,174.537,4.25,217.143,-19.904,61.685,0.803788287,0.803
17,67,192.148,108.333,211.677,-99.605,65.924,0.907741512,0.907
18,25,115.319,2.333,153.833,22.249,23.77,0.749637594,0.749
19,61,170.43,134.48,216.32,-25.71,59.933,0.787860577,0.787
20,84,183.556,18.667,218.998,79.634,83.361,0.838162906,0.828
21,18,165.086,5.333,211.905,25.017,16.553,0.779056653,
22,58,191.757,171.08,217.458,-29.249,57.306,0.88181166,
23,67,198.519,167.322,219.309,-108.435,66.408,0.905202249,
24,26,137.105,113.333,165.291,23.499,25.08,0.829476499,
25,25,181.462,134,214.222,9.462,24.331,0.84707453,
26,71,175.42,7.667,213.714,-104.036,70.093,0.820816605,
27,68,156.018,108.028,213.804,150.362,66.731,0.72972442,
28,16,122.324,107.467,148.667,19.654,14.866,0.82280533,
29,58,187.6,161.008,217.277,-28.369,56.824,0.863413983,
30,66,192.323,103.333,215.333,-103.392,64.761,0.893142249,
31,24,148.873,0.881,210.599,17.65,23.087,0.706902692,
32,49,186.957,156.833,217.167,-22.249,47.539,0.860890467,
33,78,169.399,2,206.247,105.124,76.655,0.821340432,
34,24,181.164,112.478,216.638,9.866,23.345,0.836252181,
35,92,179.809,1,216.568,-67.38,91,0.830265783,
36,56,176.259,139.039,217.02,-24.702,55.036,0.812178601,
37,14,187.553,165.606,210,26.565,13.416,0.893109524,
38,44,178.805,13.667,204.726,-40.314,43.278,0.873386868,
39,74,179.699,24.333,217.502,-104.226,73.246,0.826194702,
40,28,157.616,2,217.444,12.995,26.683,0.724857894,
41,62,178.667,122.238,217.75,-22.329,60.539,0.820514351,
42,73,190.525,108.148,214,86.82,72.111,0.890303738,
43,19,160.642,114.667,194.556,19.44,18.028,0.82568515,
44,53,173.531,130.922,217.509,-17.745,52.498,0.797810665,
45,77,169.174,109.248,217.895,82.405,75.664,0.776401478,
46,26,146.974,122.207,171.721,25.56,25.495,0.85588833,
47,52,166.997,123.53,216.754,-17.021,51.245,0.770444836,
48,60,183.667,98.667,211.333,83.234,59.414,0.869088122,
49,20,184.895,63.333,216.008,18.435,18.974,0.855963668,
50,20,184.895,63.333,216.008,18.435,18.974,0.855963668,
51,64,182.846,117.887,214.32,-34.695,63.246,0.85314483,
52,83,181.423,18.333,214.967,87.905,82.055,0.843957445,
53,37,153.068,15.667,207.296,9.728,35.511,0.738403056,
54,57,190.842,105.333,208.667,-29.745,56.436,0.914576814,
55,64,182.111,69.667,212.385,80.838,62.801,0.857456977,
56,16,173.607,162.667,201,36.87,15,0.863716418,
57,86,175.893,9.667,212.733,-55.561,84.876,0.826825175,
58,80,181.688,4.333,215.772,113.962,78.791,0.842036965,
59,12,188.861,165,208,0,11,0.907985577,
